word,correct,wrong1,wrong2,wrong3
abandon,見捨てる,称賛する,修理する,覚える
brilliant,素晴らしい,退屈な,危険な,静かな
curious,好奇心旺盛な,怠惰な,親切な,怒った
diligent,勤勉な,無関心な,陽気な,臆病な
eager,熱心な,疲れた,悲しい,混乱した
fragile,壊れやすい,頑丈な,柔らかい,重い
genuine,本物の,偽物の,古い,高価な
humble,謙虚な,傲慢な,愉快な,無口な
ignite,点火する,消す,冷やす,蒸発させる
jovial,陽気な,厳格な,内気な,怒りっぽい
keen,鋭い,鈍い,柔らかい,浅い
lucid,明晰な,曖昧な,騒々しい,退屈な
mundane,平凡な,特別な,奇妙な,複雑な
novel,斬新な,古風な,退屈な,誠実な
obscure,不明瞭な,明瞭な,有名な,正確な
pristine,新品同様の,汚れた,破損した,古い
quaint,趣のある,現代的な,不快な,巨大な
robust,頑丈な,脆い,薄い,軽い
serene,穏やかな,騒がしい,激しい,忙しい
tedious,退屈な,興奮する,難しい,簡単な
